"Reference ID","Author Key","Title","Authors","DOI","Trial ID","Date","Abstract Screening Decision","Full Text Screening Decision","Study Group","Notes","Animal Model","Authors and Publication Year","Anatomical connections","Verification of Zona Incerta Targeting","Photometry Data","Electrophysiology Data","Purpose of this circuit","Necessity vs. sufficiency or Both"
"AIM-12","bhuvanasundaram.nodate","Zona incerta modulation of the inferior olive and the pontine nuclei.","Bhuvanasundaram R, Washburn S, Krzyspiak J, Khodakhah K","https://doi.org/10.1162/netn_a_00350","","","ACCEPT","ACCEPT","bhuvanasundaram.nodate","","C57BL/6 wild-type mice (both sexes); 7–10 weeks old for in vivo; 5–6 weeks old juvenile for in vitro slices","Ramakrishnan Bhuvanasundaram; Samantha Washburn; Joanna Krzyspiak; Kamran Khodakhah, 2024","Anterograde AAV2-hSyn-ChR2-YFP tracing from ZI (center; Bregma −2.1 mm AP, ±1.5 mm ML, −4 mm DV; 0.25/0.15 μl at 0.1 μl/min; hSyn promoter; survival ≥2 weeks) to pontine nuclei; Anterograde AAV2-hSyn-ChR2-YFP tracing from ZI to inferior olive","Post-hoc immunohistochemical verification of ChR2-YFP expression confined to ZI; injection centered in ZI; exclusion of cases with spread beyond ZI","","","These ZI→PN and ZI→IO pathways may modulate the cerebellar network and underlie the efficacy of ZI deep brain stimulation in tremor-related movement disorders.","sufficiency"
"AIM-21","chhabria.nodate","A hypoxia-sensitive medullary nucleus modulates cerebral blood flow via a disynaptic pathway to cortex.","Chhabria K, Duckworth J, Yao P, Fassihi-Zakeri A, Kleinfeld D","https://doi.org/10.64898/2026.02.20.707130","","","ACCEPT","ACCEPT","chhabria.nodate","","Dβh-Cre transgenic mice on C57BL/6J background; B6.Cg-Tg(Acta2-GCaMP8.1/mVermilion) for smooth muscle–specific GCaMP8.1","Karishma Chhabria, Jacob Duckworth, Pantong Yao, Arash Fassihi-Zakeri, David Kleinfeld; 2026","RVLMDβh —anterograde AAV-Flex-mCherry→ LH; RVLMDβh —anterograde AAV-Flex-mCherry→ ZI; RVLMDβh —anterograde AAV-Flex-mCherry→ LC, PAG/DR, PBN/Tg; RVLMDβh —transsynaptic HSV-H129→ layer V cortex via LH/ZI (disynaptic); RVLMDβh —transsynaptic HSV-H129→ layer V cortex via LC (disynaptic)","Anterograde AAV-Flex-mCherry labeling in Dβh-Cre mice with histological verification via TH immunostaining; ZI identified by fiber labeling in coronal sections","Population: RVLMDβh neurons; Indicator: GCaMP8s via AAV-Flex-jGCaMP8s fiber photometry; Epoch: baseline vs. hypoxia (<16% O2) vs. recovery; Mean ΔF/F: no change; RMS ΔF/F: increased during hypoxia (p=0.019, n=7 mice); N animals=7; N trials not stated; Calcium leads CBF by ~2 s; Statistical test: Wilcoxon; Figure 1F–I","","To provide an adaptive, hypoxia-sensitive pathway from RVLM to cortex that rapidly increases cerebral blood flow across the cortical mantle","Both"
"AIM-24","zou.nodate","A GABAergic Projection from the Zona Incerta to the Rostral Ventromedial Medulla Modulates Descending Control of Neuropathic Pain.","Zou L, Ding H, Hu Y, Wen Z, Yu L, Yan M","https://doi.org/10.3390/brainsci16010072","","","ACCEPT","ACCEPT","zou.nodate","","Wild-type C57BL/6J and Vgat-Cre transgenic male mice, 6–8 weeks old","Lijing Zou; Hao Ding; Yujiao Hu; Zhuo Wen; Lina Yu; Min Yan, 2026","ZI GABAergic (Vgat+) neurons → ipsilateral RVM (anterograde tracing with AAV2/9-hSyn-DIO-EGFP in Vgat-Cre mice; monosynaptic anterograde tracing with scAAV2/1-hSyn-Cre in ZI and AAV2/9-hSyn-DIO-mCherry in RVM)","Histological confirmation of viral expression in ZI via EGFP/mCherry fluorescence at coordinates AP +2.15 mm, ML ±1.65 mm, DV −4.00 mm","","","To inhibit RVM output and thereby modulate descending control of neuropathic pain via a GABAergic ZI→RVM pathway","Both"
"AIM-25","cao.nodate","[Activation of GABAergic neurons in the zona incerta accelerates anesthesia induction with sevoflurane and propofol without affecting anesthesia maintenance or awakening in mice].","Cao F, Guo Y, Guo S, Zhou Z, Cao J, Tong L, Mi W","https://doi.org/10.12122/j.issn.1673-4254.2023.05.06","","","ACCEPT","ACCEPT","cao.nodate","","Male C57BL/6J mice (8–10 weeks old, 20–23 g)","Cao Fuyang; Guo Yongxin; Guo Shuting; Zhou Zhikang; Cao Jiangbei; Tong Li; Mi Weidong; 2023","","Immunofluorescent histological verification of viral expression in ZI by co-labeling mCherry/GFP with GABA and c-Fos antibodies (with DAPI), and confirmation of correct stereotaxic injection coordinates and placement of EEG electrodes and optical fiber.","","","To explore the regulatory effects of ZI GABAergic neurons on the induction and emergence of sevoflurane and propofol anesthesia.","sufficiency"
"AIM-32","qi.nodate","Paradoxical effects of posterior intralaminar thalamic calretinin neurons on hippocampal seizure via distinct downstream circuits.","Qi Y, Cheng H, Lou Q, Wang X, Lai N, Gao C, Wu S, Xu C, Ruan Y, Chen Z, Wang Y","https://doi.org/10.1016/j.isci.2022.104218","","","ACCEPT","ACCEPT","qi.nodate","","B6(Cg)-Calb2tm1(cre)Zjh (CR-cre) mice and C57BL/6J mice","Yingbei Qi, Heming Cheng, Qiuwen Lou, Xia Wang, Nanxi Lai, Chenshu Gao, Shuangshuang Wu, Cenglin Xu, Yeping Ruan, Zhong Chen, Yi Wang; 2022","Anterograde AAV2/9-CAG-FLEX-ArchT-GFP tracing from PIL CR neurons (injections at AP –3.1 mm, ML 1.7 mm, DV 3.6 mm; 0.5 µl at 0.1 µl/min; 5 weeks expression) revealed projections from PIL to lateral amygdala (LA), zona incerta (ZI), auditory cortex (Au), and central amygdaloid nucleus (CeA). Retrograde AAV2/2Retro-hEF1a-DIO-eYFP from LA and AAV2/2Retro-hEF1a-DIO-mCherry from ZI labeled LA- and ZI-projecting CR neurons in PIL with partial overlap (~42.7% of ZI-projecting and ~70.4% of LA-projecting neurons).","Histological confirmation of ArchT-GFP expression and optic fiber placement in the ZI via GFP immunofluorescence and imaging of Arch-GFP axon fibers in ZI","Population: PIL CR neurons expressing GCaMP6s via AAV2/9-Ef1a-DIO-GCaMP6s in CR-cre mice, recorded by fiber photometry (488 nm laser, PMT, 200 µm fiber). During focal seizures (FS), Ca2+ activity showed a slight increase relative to baseline (n=6 mice, 12 trials; Wilcoxon test, p<0.01; Figure 1E–G). During generalized seizures (GS), Ca2+ activity increased during latency and further increased at seizure onset (n=6 mice, 12 trials; Friedman test, p<0.0001; Figure 1I–K).","","To determine how posterior intralaminar thalamic calretinin neuron circuits modulate hippocampal seizure progression via distinct downstream pathways.","Both"
"AIM-36","li.nodateb","Glutamatergic Neurons in the Zona Incerta Modulate Pain and Itch Behaviors in Mice.","Li J, Peng S, Zhang Y, Ge J, Gao S, Zhu Y, Bai Y, Wu S, Huang J","https://doi.org/10.1007/s12035-023-03431-7","","","ACCEPT","ACCEPT","li.nodateb","","Adult male C57BL/6J mice and VGluT2-IRES-Cre mice","Jiaqi Li; Shihao Peng; Yiwen Zhang; Junye Ge; Shasha Gao; Yuanyuan Zhu; Yang Bai; Shengxi Wu; Jing Huang (2023)","","Histological verification of viral expression and fiber placement in caudal ZI by confocal imaging and DAPI; FOS immunostaining of hM3Dq-expressing neurons; atlas-based segmentation using Photoshop and Paxinos & Franklin atlas","Population: ZI VGluT2 neurons (GCaMP6s in VGluT2-Cre mice; fiber photometry)
Epoch 1: Mechanical nocifensive withdrawal (von Frey, 1 g); ΔF/F increased; AUC pre vs. post, P=0.033; n=7 mice
Epoch 2: Thermal nocifensive withdrawal (heat beam, 30 °C); ΔF/F increased; P=0.021; n=6 mice
Epoch 3: Histamine-induced scratching; ΔF/F increased at scratching onset; Friedman’s M test, P=0.346; n=9 mice
Epoch 4: Chloroquine-induced scratching; ΔF/F increased at scratching onset; Friedman's M test, P=0.134; n=8 mice","","To act as an endogenous negative modulatory center suppressing pain and itch behaviors","Sufficiency"
"AIM-38","ye.nodateb","Raphe serotonin projections dynamically regulate feeding behavior through targeting inhibitory circuits from rostral zona incerta to paraventricular thalamus.","Ye Q, Nunez J, Zhang X","https://doi.org/10.1016/j.molmet.2022.101634","","","ACCEPT","ACCEPT","ye.nodateb","","C57BL/6J mice, Sert-Cre mice, vGAT-Cre mice, GAD67-GFP mice","Qiying Ye, Jeremiah Nunez, Xiaobing Zhang; 2022","- DR/MnR 5-HT neurons → rostral zona incerta (ZIR) (anterograde AAV1-FLEX-EGFP-WPRE in Sert-Cre mice)
- DR/MnR 5-HT neurons → paraventricular thalamus (PVT) (anterograde AAV1-FLEX-EGFP-WPRE in Sert-Cre mice)
- DR/MnR 5-HT neurons → ZIR & PVT (retrograde AAVrg-CAG-FLEX-EGFP in ZIR and AAVrg-CAG-FLEX-tdTomato in PVT showing collateralization in Sert-Cre mice)
- ZIR GABA neurons → PVT (retrograde CTB-555 tracing in GAD-GFP mice)","Histological confirmation of viral expression and fiber placement within rostral ZI using fluorescent reporter imaging and reference to Allen Mouse Brain Atlas","","","To elucidate how raphe serotonin projections modulate the inhibitory ZIR → PVT pathway to regulate feeding motivation and food intake.","sufficiency"
"AIM-39","lin.nodate","Somatostatin-Positive Neurons in the Rostral Zona Incerta Modulate Innate Fear-Induced Defensive Response in Mice.","Lin S, Zhu MY, Tang MY, Wang M, Yu XD, Zhu Y, Xie SZ, Yang D, Chen J, Li XM","https://doi.org/10.1007/s12264-022-00958-y","","","ACCEPT","ACCEPT","lin.nodate","","Adult (>8 weeks old) male SST-Cre (SST-IRES-Cre) and Ai14 transgenic mice (Mus musculus)","Shan Lin, Meng-Yue Zhu, Meng-Yu Tang, Mi Wang, Xiao-Dan Yu, Yi Zhu, Shi-Ze Xie, Dan Yang, Jiadong Chen, Xiao-Ming Li; 2022","• Rostral ZI SST-positive → nucleus reuniens (Re): Anterograde AAV2/9-DIO-mGFP-Synaptophysin-mRuby injection into rostral ZI SST-Cre mice (70 nL); reporter expression in Re; functional GABAergic projection confirmed ex vivo by optogenetically-evoked IPSCs in Re neurons.
• Superior colliculus → rostral ZI SST-positive: Monosynaptic rabies tracing via AAV2/9-DIO-TVA-EGFP and AAV2/9-EF1α-DIO-RVG in rostral ZI followed by RV-EnvA-ΔG-dsRed into rostral ZI (80 nL); labeled neurons in intermediate and deep layers of SC.
• SC → rostral ZI SST-positive → Re (SC-ZIrSST-Re tri-synaptic): Monosynaptic rabies from Re in ZI TVA/RVG-preinfected SST-Cre mice, combined with c-Fos staining after looming; identified SC neurons projecting to Re-projecting ZI SST cells that were activated by looming.","Histological verification by fluorescence microscopy showing Cre-dependent reporter expression and fiber tracks in the rostral ZI (AP −1.00 mm; ML ±0.6–1.35 mm; DV −4.45 to −4.13 mm) with DAPI counterstaining; RNAscope in situ hybridization confirming SST mRNA expression in SST-positive neurons.","Population of SST-positive neurons in the rostral ZI recorded with AAV2/9-DIO-GCaMP6s (fiber photometry). Looming stimulus (3 expanding disks over 3 s) evoked a significant increase in ΔF/F% (AUC difference p=0.0313; n=6 mice, 3 trials each); sweeping stimulus elicited intracellular Ca2+ elevation; spontaneous locomotion produced no change. mCherry control channel showed no signal changes.","1) ChR2 in rostral ZI SST neurons: 20 Hz, 10 ms blue light pulses reliably evoked action potentials in current-clamp.
2) GtACR1 in rostral ZI SST neurons: 5 s continuous 473 nm light induced hyperpolarization and silenced firing.
3) ZIrSST→Re synaptic connectivity: optogenetic stimulation of ZI SST axon terminals evoked monosynaptic GABAergic IPSCs in Re neurons (blocked by TTX, rescued by 4-AP; abolished by picrotoxin). No measurements of Cm, Rin, AP kinetics, or resting membrane potential were reported.","To mediate and modulate innate visual threat-induced defensive behaviors (flight and freezing) via SST-positive neurons in the rostral ZI and the SC-ZIrSST-Re tri-synaptic circuit.","Both necessity and sufficiency"
"AIM-43","liu.nodatea","The zona incerta regulates burying behavior and normalizes anxiety-like behavior in inescapable stressful male mice by object cue.","Liu Y, Qiu L, Qian J, Xu Q, Qi R, Luo Y, Cao Z, Zhang Z, Wu W, Zhang L, Lu G","https://doi.org/10.1016/j.ynstr.2024.100704","","","ACCEPT","ACCEPT","liu.nodatea","","Male C57BL/6J mice","Yueqin Liu; Lianli Qiu; Jiahui Qian; Qiang Xu; Rongfeng Qi; Yifeng Luo; Zhihong Cao; Zhiqiang Zhang; Wei Wu; Longjiang Zhang; Guangming Lu (2025)","1) ZI→vPAG, anterograde tracing: rAAV-hSyn-EYFP injected into ZI at AP −1.2 mm, ML ±1.6 mm, DV 4.4 mm; abundant EYFP+ fibers observed in vPAG. 2) ZI→vPAG, retrograde-based intersectional labeling: AAV2/2-Retro-hSyn-Cre into vPAG (AP −4.52 mm, ML ±0.42 mm, DV 2.78 mm) combined with rAAV-DIO-hM3Dq-EYFP in ZI to label vPAG-projecting ZI neurons.","Stereotaxic targeting of ZI (AP −1.2 mm, ML ±1.6 mm, DV 4.4 mm) with histological verification by confocal imaging of EGFP signal and DAPI in 40 µm brain sections; bilateral expression required for inclusion.","Population: ZI neurons expressing GCaMP6s (rAAV-hSyn-GCaMp6s, fiber photometry). Epochs: (1) exploring object—Shock only: no change; Object: increased ΔF/F; (2) burying behavior—increased ΔF/F in both groups; (3) self-grooming—decreased ΔF/F in both groups. N=5 mice per group; statistical test: One-way ANOVA, p<0.001. Peak ΔF/F, latency, and duration not explicitly stated.","","To normalize anxiety-like behavior induced by inescapable stress via ZI→vPAG projections, without altering defensive burying behavior.","Both necessity and sufficiency"
"AIM-44","chen.nodatea","Zona Incerta GABAergic Neurons Facilitate Emergence from Isoflurane Anesthesia in Mice.","Chen H, Liu C, Liu J, Yuan C, He H, Zhang Y, Yu S, Luo T, Shen W, Yu T","https://doi.org/10.1007/s11064-024-04230-9","","","ACCEPT","ACCEPT","chen.nodatea","","VGAT-IRES-Cre mice; C57BL/6J mice","Hong Chen, Chengxi Liu, Junxiao Liu, Chengdong Yuan, Haifeng He, Yu Zhang, Shouyang Yu, Tianyuan Luo, Wei Shen, Tian Yu; 2024","","Coronal brain sectioning and immunohistochemical staining with anti-GABA antibody, guided by the Paxinos & Franklin mouse brain atlas","Fiber photometry recordings from ZI GABAergic neurons in VGAT-Cre mice expressing GCaMP6s (AAV-DIO-GCaMP6s). Behavioral epochs: pre-anesthesia baseline (−200 to −100 s), induction (−100 to 0 s), early anesthesia (0 to 100 s), maintenance (100 to 200 s), anesthesia baseline (−200 to −150 s), recovery (−150 to 0 s), early emergence (0 to 100 s), emergence (100 to 200 s). Signal changes: induction vs baseline 24.74 ± 10.67% vs 4.892 ± 5.488% (P=0.0004); early anesthesia vs baseline −6.638 ± 3.716% vs 24.74 ± 10.67% (P=0.0001); maintenance vs baseline −10.5 ± 4.345% vs 24.74 ± 10.67% (P=0.0001); early emergence vs anesthesia baseline 8.968 ± 5.21% vs −5.121 ± 3.444% (P=0.0055); emergence vs anesthesia baseline 6.825 ± 7.571% vs −5.121 ± 3.444% (P=0.0026). N=8 mice; system: ThinkerTech Nanjing Bioscience fiber photometry.","","To investigate the involvement of ZI GABAergic neurons in modulating induction and emergence from isoflurane anesthesia.","Both"
